Name,Price,Url,Img
AMD Athlon 200GE AM4 Socket Desktop Processor with Radeon Vega 3 Graphics,"5,700৳",https://www.startech.com.bd/amd-athlon-200ge-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/Athlon/athlon-228x228.jpg
Intel 8th Generation Core i7-8700 Processor,"29,000৳",https://www.startech.com.bd/intel-8th-gen-i7-8700-processor,https://www.startech.com.bd/image/cache/catalog/processor/intel/8700/i7-8700-228x228.jpg
Gigabyte GA-H110M S2PH-DDR4,"5,700৳",https://www.startech.com.bd/Gigabyte-GA-H110M-S2PH-DDR4 ,https://www.startech.com.bd/image/cache/catalog/Motherboard/Gigabyte/Gigabyte GA-H110M S2PH-DDR4-228x228.jpg
Asrock H310M-HDV/M.2 8th Gen DDR4 Motherboard,"6,400৳",https://www.startech.com.bd/asrock-h310m-hdv-m.2-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asrock/h310m-hdvm2/h310m-hdvm.2-228x228.jpg
ASUS H110M-K Motherboard,"5,500৳",https://www.startech.com.bd/ASUS-H110M-K-Motherboard,https://www.startech.com.bd/image/cache/catalog/Motherboard/ASUS/ASUS H110M-K/ASUS H110M-K-1-228x228.jpg
Asus Prime A320M-K AMD AM4 uATX Motherboard,"6,300৳",https://www.startech.com.bd/asus-prime-a320m-k-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/a320m-k/a320m-k-228x228.jpg
Asus Prime B450-PLUS AMD AM4 ATX Motherboard,"10,200৳",https://www.startech.com.bd/asus-prime-b450-plus-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/prime-b450-plus/prime-b450-plus-228x228.jpg
Asus ROG CROSSHAIR VI HERO AMD X370 ATX Gaming Motherboard,"22,800৳",https://www.startech.com.bd/aus-rog-crosshair-vi-hero-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/crosshair-vi-hero/crosshair-vi-hero-228x228.jpg
Gigabyte AMD B450M Gaming Motherboard,"7,500৳",https://www.startech.com.bd/gigabyte-amd-b450-gaming-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/b450m-gaming/b450m-228x228.jpg
Gigabyte GA-B75M-S LGA 1155 Micro-ATX Motherboard,"6,200৳",https://www.startech.com.bd/gigabyte-gt-b75m-s-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/b75m-s/b75m-s-228x228.jpg
Gigabyte GA-H81M-DS2 Micro ATX Motherboard,"5,300৳",https://www.startech.com.bd/gigabyte-ga-h81m-ds2-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/ga-h81m-ds2/ga-h81m-ds2-1-228x228.jpg
Asrock X370 Killer SLI AMD Motherboard,"9,700৳",https://www.startech.com.bd/asrock-x370-killer-sli-amd-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asrock/x370-killer-sli/x370-killer-sli-1-228x228.jpg
ASUS H110M-A Motherboard,"5,900৳",https://www.startech.com.bd/ASUS-H110M-A-Motherboard,https://www.startech.com.bd/image/cache/catalog/Component/motherboard/asus/cg-228x228.png
ASUS H81M-C Motherboard,"5,700৳",https://www.startech.com.bd/asus-h81m-c-motherboard,https://www.startech.com.bd/image/cache/data/mother board/h81m-c-228x228.jpg
Gigabyte GA-B250M-D2V 7th/6th Gen Micro ATX Motherboard,"6,300৳",https://www.startech.com.bd/gigabyte-ga-b250m-d2v-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/ga-b250m-d2v/ga-b250m-d2v-1-228x228.jpg
Asrock B360M-HDV 8th Gen DDR4 Motherboard,"7,200৳",https://www.startech.com.bd/asrock-b360m-hdv-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asrock/b360m-hdv/b360m-hdv-228x228.jpg
Asus Tinker Board With Rockchip Quad-Core RK3288 processor,"5,950৳",https://www.startech.com.bd/asus-tinker-board,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/tinker-board/tinker-board-228x228.jpg
Gigabyte B450M DS3H AM4 AMD Micro ATX Motherboard,"8,000৳",https://www.startech.com.bd/gigabyte-b450m-ds3h-amd-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/b450m-ds3h/b450m-ds3h-1-228x228.jpg
Gigabyte H310M DS2V 8th Gen Motherboard,"6,800৳",https://www.startech.com.bd/gigabyte-h310m-ds2v-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/h310m-ds2v/h310m-ds2v-228x228.jpg
Asrock Fatal1ty B450 Gaming K4 AMD Motherboard,"10,500৳",https://www.startech.com.bd/asrock-fatal1ty-b450-gaming-k4-amd-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asrock/fatal1ty-b450-gaming-k4/fatal1ty-b450-gaming-k4-1-228x228.jpg
